@relation circle-u

@attribute u numeric
@attribute class {c,q}

@data
3.1250000,q
3.0025000,q
2.8850000,q
2.7725000,q
2.6650000,q
2.5625000,q
2.4650000,q
2.3725000,q
2.2850000,q
2.2025000,q
2.1250000,q
2.0525000,q
1.9850000,q
1.9225000,q
1.8650000,q
1.8125000,q
1.7650000,q
1.7225000,q
1.6850000,q
1.6525000,q
1.6250000,q
1.6025000,q
1.5850000,q
1.5725000,q
1.5650000,q
1.5625000,q
1.5650000,q
1.5725000,q
1.5850000,q
1.6025000,q
1.6250000,q
1.6525000,q
1.6850000,q
1.7225000,q
1.7650000,q
1.8125000,q
1.8650000,q
1.9225000,q
1.9850000,q
2.0525000,q
2.1250000,q
2.2025000,q
2.2850000,q
2.3725000,q
2.4650000,q
2.5625000,q
2.6650000,q
2.7725000,q
2.8850000,q
3.0025000,q
3.1250000,q
3.0025000,q
2.8800000,q
2.7625000,q
2.6500000,q
2.5425000,q
2.4400000,q
2.3425000,q
2.2500000,q
2.1625000,q
2.0800000,q
2.0025000,q
1.9300000,q
1.8625000,q
1.8000000,q
1.7425000,q
1.6900000,q
1.6425000,q
1.6000000,q
1.5625000,q
1.5300000,q
1.5025000,q
1.4800000,q
1.4625000,q
1.4500000,q
1.4425000,q
1.4400000,q
1.4425000,q
1.4500000,q
1.4625000,q
1.4800000,q
1.5025000,q
1.5300000,q
1.5625000,q
1.6000000,q
1.6425000,q
1.6900000,q
1.7425000,q
1.8000000,q
1.8625000,q
1.9300000,q
2.0025000,q
2.0800000,q
2.1625000,q
2.2500000,q
2.3425000,q
2.4400000,q
2.5425000,q
2.6500000,q
2.7625000,q
2.8800000,q
3.0025000,q
2.8850000,q
2.7625000,q
2.6450000,q
2.5325000,q
2.4250000,q
2.3225000,q
2.2250000,q
2.1325000,q
2.0450000,q
1.9625000,q
1.8850000,q
1.8125000,q
1.7450000,q
1.6825000,q
1.6250000,q
1.5725000,q
1.5250000,q
1.4825000,q
1.4450000,q
1.4125000,q
1.3850000,q
1.3625000,q
1.3450000,q
1.3325000,q
1.3250000,q
1.3225000,q
1.3250000,q
1.3325000,q
1.3450000,q
1.3625000,q
1.3850000,q
1.4125000,q
1.4450000,q
1.4825000,q
1.5250000,q
1.5725000,q
1.6250000,q
1.6825000,q
1.7450000,q
1.8125000,q
1.8850000,q
1.9625000,q
2.0450000,q
2.1325000,q
2.2250000,q
2.3225000,q
2.4250000,q
2.5325000,q
2.6450000,q
2.7625000,q
2.8850000,q
2.7725000,q
2.6500000,q
2.5325000,q
2.4200000,q
2.3125000,q
2.2100000,q
2.1125000,q
2.0200000,q
1.9325000,q
1.8500000,q
1.7725000,q
1.7000000,q
1.6325000,q
1.5700000,q
1.5125000,q
1.4600000,q
1.4125000,q
1.3700000,q
1.3325000,q
1.3000000,q
1.2725000,q
1.2500000,q
1.2325000,q
1.2200000,q
1.2125000,q
1.2100000,q
1.2125000,q
1.2200000,q
1.2325000,q
1.2500000,q
1.2725000,q
1.3000000,q
1.3325000,q
1.3700000,q
1.4125000,q
1.4600000,q
1.5125000,q
1.5700000,q
1.6325000,q
1.7000000,q
1.7725000,q
1.8500000,q
1.9325000,q
2.0200000,q
2.1125000,q
2.2100000,q
2.3125000,q
2.4200000,q
2.5325000,q
2.6500000,q
2.7725000,q
2.6650000,q
2.5425000,q
2.4250000,q
2.3125000,q
2.2050000,q
2.1025000,q
2.0050000,q
1.9125000,q
1.8250000,q
1.7425000,q
1.6650000,q
1.5925000,q
1.5250000,q
1.4625000,q
1.4050000,q
1.3525000,q
1.3050000,q
1.2625000,q
1.2250000,q
1.1925000,q
1.1650000,q
1.1425000,q
1.1250000,q
1.1125000,q
1.1050000,q
1.1025000,q
1.1050000,q
1.1125000,q
1.1250000,q
1.1425000,q
1.1650000,q
1.1925000,q
1.2250000,q
1.2625000,q
1.3050000,q
1.3525000,q
1.4050000,q
1.4625000,q
1.5250000,q
1.5925000,q
1.6650000,q
1.7425000,q
1.8250000,q
1.9125000,q
2.0050000,q
2.1025000,q
2.2050000,q
2.3125000,q
2.4250000,q
2.5425000,q
2.6650000,q
2.5625000,q
2.4400000,q
2.3225000,q
2.2100000,q
2.1025000,q
2.0000000,q
1.9025000,q
1.8100000,q
1.7225000,q
1.6400000,q
1.5625000,q
1.4900000,q
1.4225000,q
1.3600000,q
1.3025000,q
1.2500000,q
1.2025000,q
1.1600000,q
1.1225000,q
1.0900000,q
1.0625000,q
1.0400000,q
1.0225000,q
1.0100000,q
1.0025000,q
1.0000000,c
1.0025000,q
1.0100000,q
1.0225000,q
1.0400000,q
1.0625000,q
1.0900000,q
1.1225000,q
1.1600000,q
1.2025000,q
1.2500000,q
1.3025000,q
1.3600000,q
1.4225000,q
1.4900000,q
1.5625000,q
1.6400000,q
1.7225000,q
1.8100000,q
1.9025000,q
2.0000000,q
2.1025000,q
2.2100000,q
2.3225000,q
2.4400000,q
2.5625000,q
2.4650000,q
2.3425000,q
2.2250000,q
2.1125000,q
2.0050000,q
1.9025000,q
1.8050000,q
1.7125000,q
1.6250000,q
1.5425000,q
1.4650000,q
1.3925000,q
1.3250000,q
1.2625000,q
1.2050000,q
1.1525000,q
1.1050000,q
1.0625000,q
1.0250000,q
0.9925000,c
0.9650000,c
0.9425000,c
0.9250000,c
0.9125000,c
0.9050000,c
0.9025000,c
0.9050000,c
0.9125000,c
0.9250000,c
0.9425000,c
0.9650000,c
0.9925000,c
1.0250000,q
1.0625000,q
1.1050000,q
1.1525000,q
1.2050000,q
1.2625000,q
1.3250000,q
1.3925000,q
1.4650000,q
1.5425000,q
1.6250000,q
1.7125000,q
1.8050000,q
1.9025000,q
2.0050000,q
2.1125000,q
2.2250000,q
2.3425000,q
2.4650000,q
2.3725000,q
2.2500000,q
2.1325000,q
2.0200000,q
1.9125000,q
1.8100000,q
1.7125000,q
1.6200000,q
1.5325000,q
1.4500000,q
1.3725000,q
1.3000000,q
1.2325000,q
1.1700000,q
1.1125000,q
1.0600000,q
1.0125000,q
0.9700000,c
0.9325000,c
0.9000000,c
0.8725000,c
0.8500000,c
0.8325000,c
0.8200000,c
0.8125000,c
0.8100000,c
0.8125000,c
0.8200000,c
0.8325000,c
0.8500000,c
0.8725000,c
0.9000000,c
0.9325000,c
0.9700000,c
1.0125000,q
1.0600000,q
1.1125000,q
1.1700000,q
1.2325000,q
1.3000000,q
1.3725000,q
1.4500000,q
1.5325000,q
1.6200000,q
1.7125000,q
1.8100000,q
1.9125000,q
2.0200000,q
2.1325000,q
2.2500000,q
2.3725000,q
2.2850000,q
2.1625000,q
2.0450000,q
1.9325000,q
1.8250000,q
1.7225000,q
1.6250000,q
1.5325000,q
1.4450000,q
1.3625000,q
1.2850000,q
1.2125000,q
1.1450000,q
1.0825000,q
1.0250000,q
0.9725000,c
0.9250000,c
0.8825000,c
0.8450000,c
0.8125000,c
0.7850000,c
0.7625000,c
0.7450000,c
0.7325000,c
0.7250000,c
0.7225000,c
0.7250000,c
0.7325000,c
0.7450000,c
0.7625000,c
0.7850000,c
0.8125000,c
0.8450000,c
0.8825000,c
0.9250000,c
0.9725000,c
1.0250000,q
1.0825000,q
1.1450000,q
1.2125000,q
1.2850000,q
1.3625000,q
1.4450000,q
1.5325000,q
1.6250000,q
1.7225000,q
1.8250000,q
1.9325000,q
2.0450000,q
2.1625000,q
2.2850000,q
2.2025000,q
2.0800000,q
1.9625000,q
1.8500000,q
1.7425000,q
1.6400000,q
1.5425000,q
1.4500000,q
1.3625000,q
1.2800000,q
1.2025000,q
1.1300000,q
1.0625000,q
1.0000000,c
0.9425000,c
0.8900000,c
0.8425000,c
0.8000000,c
0.7625000,c
0.7300000,c
0.7025000,c
0.6800000,c
0.6625000,c
0.6500000,c
0.6425000,c
0.6400000,c
0.6425000,c
0.6500000,c
0.6625000,c
0.6800000,c
0.7025000,c
0.7300000,c
0.7625000,c
0.8000000,c
0.8425000,c
0.8900000,c
0.9425000,c
1.0000000,c
1.0625000,q
1.1300000,q
1.2025000,q
1.2800000,q
1.3625000,q
1.4500000,q
1.5425000,q
1.6400000,q
1.7425000,q
1.8500000,q
1.9625000,q
2.0800000,q
2.2025000,q
2.1250000,q
2.0025000,q
1.8850000,q
1.7725000,q
1.6650000,q
1.5625000,q
1.4650000,q
1.3725000,q
1.2850000,q
1.2025000,q
1.1250000,q
1.0525000,q
0.9850000,c
0.9225000,c
0.8650000,c
0.8125000,c
0.7650000,c
0.7225000,c
0.6850000,c
0.6525000,c
0.6250000,c
0.6025000,c
0.5850000,c
0.5725000,c
0.5650000,c
0.5625000,c
0.5650000,c
0.5725000,c
0.5850000,c
0.6025000,c
0.6250000,c
0.6525000,c
0.6850000,c
0.7225000,c
0.7650000,c
0.8125000,c
0.8650000,c
0.9225000,c
0.9850000,c
1.0525000,q
1.1250000,q
1.2025000,q
1.2850000,q
1.3725000,q
1.4650000,q
1.5625000,q
1.6650000,q
1.7725000,q
1.8850000,q
2.0025000,q
2.1250000,q
2.0525000,q
1.9300000,q
1.8125000,q
1.7000000,q
