@relation circle-u

@attribute u numeric
@attribute class {c,q}

@data
0.8880568,c
1.4871001,q
1.1094022,q
0.9743491,c
0.8951804,c
1.7762460,q
0.7971013,c
0.5747719,c
0.8722136,c
1.3187923,q
1.4731353,q
0.4333181,c
1.0564206,q
1.7412120,q
0.5873385,c
2.1370037,q
0.5936561,c
0.8473889,c
0.4198124,c
2.0021496,q
0.6726411,c
1.5321093,q
1.0782387,q
1.1113483,q
0.9476445,c
0.2309338,c
0.9213486,c
0.1694077,c
2.0873183,q
1.4047292,q
1.2690265,q
1.2391499,q
1.2429573,q
0.6782874,c
0.5185415,c
2.2802653,q
0.6260691,c
0.0350054,c
0.3741293,c
1.3284240,q
0.7652514,c
0.6609884,c
1.7612234,q
0.8536258,c
0.7159120,c
1.1599027,q
0.4598447,c
0.5637898,c
0.7408673,c
0.7685690,c
0.0264540,c
1.9113784,q
0.5356420,c
1.0799912,q
0.1817435,c
2.8594347,q
0.1823245,c
0.4143136,c
1.1756326,q
0.7801281,c
1.3025992,q
1.4092879,q
0.4795633,c
0.6989337,c
0.9824739,c
0.1610706,c
0.7784092,c
0.5029434,c
0.9486656,c
0.5115612,c
0.8426635,c
0.9948004,c
0.2439695,c
1.2713456,q
0.8968019,c
1.2419117,q
2.9304042,q
0.2316104,c
0.3254245,c
1.2964359,q
0.8301216,c
1.0267048,q
0.1899068,c
1.3903475,q
0.2245081,c
0.6956228,c
0.3645696,c
1.3382319,q
0.9953476,c
0.1732346,c
2.5318916,q
0.0464396,c
0.8966824,c
0.7344630,c
1.1249176,q
1.6934241,q
1.4416247,q
1.5591080,q
0.6110477,c
1.1214957,q
