@relation circle-zt

@attribute z numeric
@attribute t numeric
@attribute class {c,q}

@data
0.1399278,0.7481290,c
0.0164775,1.4706226,q
0.1733039,0.9360982,q
0.9741982,0.0001509,c
0.8141967,0.0809837,c
0.4962640,1.2799820,q
0.3112092,0.4858921,c
0.3322379,0.2425340,c
0.0293368,0.8428768,c
0.0171402,1.3016521,q
0.2690730,1.2040622,q
0.3598792,0.0734389,c
0.0175521,1.0388685,q
0.5397437,1.2014683,q
0.1708354,0.4165031,c
1.4765499,0.6604538,q
0.3440831,0.2495730,c
0.0233180,0.8240709,c
0.0000039,0.4198085,c
0.8777621,1.1243875,q
0.0768054,0.5958358,c
1.3826051,0.1495042,q
1.0709957,0.0072430,q
0.0531053,1.0582430,q
0.2345970,0.7130475,c
0.1172427,0.1136911,c
0.7151750,0.2061736,c
0.0111655,0.1582421,c
1.2515709,0.8357474,q
0.0795571,1.3251721,q
0.8935581,0.3754684,q
0.5046839,0.7344660,q
0.3192191,0.9237382,q
0.6553176,0.0229698,c
0.3788420,0.1396995,c
1.3799152,0.9003501,q
0.2763240,0.3497451,c
0.0003367,0.0346687,c
0.2530150,0.1211143,c
0.4956730,0.8327510,q
0.7479309,0.0173204,c
0.1402990,0.5206894,c
1.4711776,0.2900458,q
0.8528524,0.0007733,c
0.4929910,0.2229210,c
1.1250348,0.0348679,q
0.4259108,0.0339340,c
0.5202492,0.0435406,c
0.5717618,0.1691055,c
0.1017757,0.6667933,c
0.0157511,0.0107029,c
1.1936203,0.7177582,q
0.4738950,0.0617470,c
0.0875604,0.9924308,q
0.1802970,0.0014465,c
1.5203497,1.3390850,q
0.0388355,0.1434890,c
0.4034602,0.0108533,c
0.1819855,0.9936471,q
0.7798026,0.0003256,c
0.0122382,1.2903610,q
0.6756064,0.7336815,q
0.4696503,0.0099129,c
0.0292715,0.6696622,c
0.9638340,0.0186399,c
0.0006968,0.1603737,c
0.6015619,0.1768473,c
0.5004651,0.0024782,c
0.1856819,0.7629837,c
0.4865837,0.0249776,c
0.1498288,0.6928347,c
0.1833551,0.8114453,c
0.2403597,0.0036098,c
0.8224787,0.4488669,q
0.1745767,0.7222251,c
0.8814831,0.3604286,q
1.4334816,1.4969226,q
0.1957093,0.0359012,c
0.1012410,0.2241835,c
1.2279552,0.0684807,q
0.1923486,0.6377730,c
0.4249653,0.6017395,q
0.1887850,0.0011218,c
0.4376415,0.9527060,q
0.0019111,0.2225969,c
0.2885685,0.4070543,c
0.3634580,0.0011116,c
0.0006474,1.3375845,q
0.3952641,0.6000836,c
0.1207429,0.0524917,c
1.5446224,0.9872692,q
0.0290890,0.0173506,c
0.0361328,0.8605496,c
0.0300864,0.7043767,c
0.4917063,0.6332114,q
1.4539240,0.2395001,q
0.0393938,1.4022309,q
1.0831100,0.4759980,q
0.0091898,0.6018579,c
0.9446804,0.1768153,q
