@relation circle-u

@attribute u numeric
@attribute class {c,q}

@data
1.0002796,q
2.1982083,q
2.9611561,q
0.4236888,c
0.3795142,c
1.3072300,q
0.4128401,c
1.6792655,q
1.4588999,q
0.1539689,c
0.8781462,c
0.1393498,c
1.7192986,q
2.2628995,q
1.6600006,q
0.8999741,c
1.4394876,q
0.5563839,c
2.2759414,q
0.8604933,c
1.4738894,q
1.3060091,q
1.6050504,q
1.0212786,q
0.3037528,c
2.3044800,q
0.1582088,c
0.7929138,c
1.6504019,q
2.0066445,q
0.9890546,c
1.8397761,q
0.4571166,c
0.8753518,c
0.9834920,c
0.3961347,c
0.4563936,c
1.8535737,q
1.2227183,q
1.5575731,q
2.0378866,q
2.2971448,q
0.0185900,c
0.7366800,c
0.8609271,c
1.9012789,q
1.2291688,q
0.8737514,c
1.2682782,q
0.8041873,c
0.1474122,c
0.6564304,c
2.2537499,q
1.9113543,q
1.6098136,q
0.1669468,c
1.4588432,q
0.7654123,c
0.5665862,c
0.7956916,c
0.1644824,c
0.9990330,c
0.9525924,c
0.3929977,c
2.3553780,q
0.0892927,c
0.2341998,c
0.3074372,c
1.4582390,q
1.1167978,q
0.9521049,c
0.5052360,c
1.4966550,q
1.5240197,q
0.9916290,c
2.2251775,q
2.2762672,q
0.2324647,c
1.0666274,q
0.5934776,c
0.4203120,c
0.0129540,c
0.3356655,c
0.6509889,c
1.1349811,q
0.4234827,c
1.6239854,q
0.0747928,c
0.2650947,c
1.4469436,q
2.0577789,q
0.6093060,c
1.5577562,q
1.8676689,q
0.1680622,c
1.7756664,q
1.3364323,q
0.3020918,c
0.5039387,c
0.4867614,c
