@relation circle-zt

@attribute z numeric
@attribute t numeric
@attribute class {c,q}

@data
0.7575953,0.2426843,q
1.0683128,1.1298954,q
1.5399797,1.4211763,q
0.3001999,0.1234889,c
0.3787951,0.0007192,c
0.0045332,1.3026967,q
0.3990625,0.0137776,c
0.2475190,1.4317465,q
0.8826294,0.5762705,q
0.1538721,0.0000969,c
0.6047022,0.2734440,c
0.0702287,0.0691211,c
1.0401130,0.6791856,q
1.2526807,1.0102188,q
0.1933539,1.4666467,q
0.8973845,0.0025896,c
1.4247258,0.0147618,q
0.2011126,0.3552713,c
1.0469714,1.2289700,q
0.2163068,0.6441865,c
0.8578622,0.6160272,q
1.2954792,0.0105299,q
0.6336365,0.9714139,q
0.0791917,0.9420869,q
0.2811171,0.0226357,c
0.9479460,1.3565340,q
0.1278704,0.0303384,c
0.7580602,0.0348536,c
0.1475929,1.5028090,q
0.5409214,1.4657231,q
0.3693693,0.6196853,c
0.8782627,0.9615134,q
0.0229005,0.4342162,c
0.8442782,0.0310737,c
0.5115907,0.4719013,c
0.1474757,0.2486590,c
0.2482407,0.2081529,c
0.9062960,0.9472777,q
1.1810671,0.0416512,q
0.6111864,0.9463867,q
1.1315179,0.9063687,q
0.8371428,1.4600019,q
0.0072951,0.0112949,c
0.7009233,0.0357567,c
0.8601956,0.0007315,c
0.5752284,1.3260506,q
0.5619394,0.6672294,q
0.3745807,0.4991707,c
0.1081773,1.1601009,q
0.5966605,0.2075268,c
0.0001417,0.1472706,c
0.5502761,0.1061543,c
1.2898411,0.9639089,q
0.6482343,1.2631200,q
0.1743218,1.4354918,q
0.1635670,0.0033798,c
1.1298954,0.3289478,q
0.5350457,0.2303666,c
0.3520500,0.2145362,c
0.0836101,0.7120815,c
0.1532442,0.0112382,c
0.8501771,0.1488559,c
0.5132838,0.4393086,c
0.3194346,0.0735630,c
1.4084717,0.9469063,q
0.0448882,0.0444046,c
0.2332685,0.0009313,c
0.0100731,0.2973641,c
0.0717737,1.3864653,q
0.0141473,1.1026506,q
0.6837833,0.2683216,c
0.4625665,0.0426695,c
0.8572969,0.6393581,q
0.0981098,1.4259099,q
0.4079797,0.5836492,c
1.5032766,0.7219009,q
0.7972133,1.4790539,q
0.1123573,0.1201074,c
0.9687087,0.0979187,q
0.5849906,0.0084870,c
0.0964204,0.3238915,c
0.0041907,0.0087633,c
0.3286416,0.0070239,c
0.0215360,0.6294529,c
0.9004949,0.2344862,q
0.0360459,0.3874368,c
1.5090820,0.1149034,q
0.0002123,0.0745804,c
0.1810428,0.0840519,c
0.0307651,1.4161785,q
0.7291794,1.3285995,q
0.0005031,0.6088029,c
0.0300599,1.5276962,q
1.5172467,0.3504222,q
0.0237628,0.1442994,c
0.3072637,1.4684028,q
0.8289261,0.5075062,q
0.2848916,0.0172001,c
0.3631821,0.1407567,c
0.4801656,0.0065959,c
