M,weka_train_acc,weka_test_acc,weka_leaves,weka_size,sklearn_train_acc,sklearn_test_acc,sklearn_leaves,sklearn_size
1,0.99751,0.9514969999999999,144,287.0,1.0,0.9558882235528942,164,327
2,0.991036,0.953094,108,215.0,0.9915338645418327,0.9524950099800399,134,267
3,0.985558,0.953493,85,169.0,0.9880478087649402,0.9552894211576847,117,233
4,0.9829019999999999,0.95509,75,149.0,0.9840637450199203,0.9520958083832335,105,209
5,0.9789180000000001,0.952295,57,113.0,0.9807436918990704,0.9512974051896208,99,197
6,0.976096,0.950898,50,99.0,0.978253652058433,0.951497005988024,94,187
7,0.975598,0.949701,49,97.0,0.9750996015936255,0.9493013972055888,86,171
8,0.9751000000000001,0.951297,49,97.0,0.974601593625498,0.950499001996008,83,165
9,0.973108,0.9479040000000001,46,91.0,0.9714475431606906,0.9463073852295409,81,161
10,0.9714480000000001,0.944112,46,91.0,0.9707835325365206,0.9457085828343313,78,155
11,0.96929,0.9425149999999999,43,85.0,0.9706175298804781,0.9467065868263473,76,151
12,0.965803,0.941916,39,77.0,0.9691235059760956,0.9469061876247505,73,145
13,0.9644750000000001,0.941916,37,73.0,0.9672974767596282,0.9457085828343313,71,141
14,0.961819,0.9375249999999999,35,69.0,0.9644754316069057,0.9429141716566867,67,133
15,0.960491,0.936527,32,63.0,0.9641434262948207,0.9419161676646707,66,131
16,0.959495,0.936128,31,61.0,0.9626494023904383,0.9405189620758483,63,125
17,0.959495,0.936926,32,63.0,0.9589973439575034,0.9369261477045908,61,121
18,0.961653,0.9403189999999999,35,69.0,0.9580013280212484,0.9337325349301397,61,121
19,0.959827,0.938922,33,65.0,0.9573373173970784,0.9327345309381238,59,117
20,0.957171,0.936926,33,65.0,0.9570053120849934,0.9333333333333333,58,115
21,0.956673,0.9349299999999999,32,63.0,0.9556772908366534,0.9345309381237525,57,113
22,0.953685,0.9315370000000001,29,57.0,0.9543492695883135,0.9353293413173652,56,111
23,0.952523,0.930739,28,55.0,0.9510292164674635,0.9289421157684631,53,105
24,0.952689,0.931138,28,55.0,0.9510292164674635,0.9289421157684631,52,103
25,0.952523,0.929741,28,55.0,0.9506972111553785,0.9279441117764471,51,101
30,0.945385,0.9209579999999999,23,45.0,0.9437250996015937,0.9203592814371258,46,91
40,0.9379149999999999,0.913573,23,45.0,0.9360889774236387,0.9115768463073852,48,95
50,0.9233069999999999,0.89022,20,39.0,0.9223107569721115,0.8932135728542914,43,85
100,0.898904,0.870858,11,21.0,0.9047144754316069,0.8750499001996008,37,73
