k,grid_acc_vs_ground_truth,grid_acc_vs_ground_truth_offboundary,grid_errors
1,0.9019607843137255,0.8970280452071997,259
3,0.8915801614763552,0.8882377563834241,286
5,0.8700499807766243,0.86856425282545,340
7,0.8612072279892349,0.8589367936375052,361
9,0.8442906574394463,0.8438677270824613,407
11,0.8404459823144944,0.8430305567182922,415
13,0.8262206843521722,0.8292172457095018,454
15,0.8123798539023452,0.818752616157388,488
17,0.790080738177624,0.7978233570531603,546
21,0.740484429065744,0.7517789870238594,675
25,0.6601307189542484,0.6781079949769778,886
31,0.5678585159554018,0.5910422771033905,1130
41,0.49211841599384853,0.5274173294265383,1327
51,0.48327566320645904,0.52113855169527,1350
61,0.48327566320645904,0.52113855169527,1350
81,0.48327566320645904,0.52113855169527,1350
99,0.48327566320645904,0.52113855169527,1350
