k,train_acc,test_acc,loo_acc,cv5_acc,cv5_std,cv10_acc,cv10_std,sklearn_test_acc,sklearn_agrees,all_acc
1,1.0,0.91,0.93,0.940375939849624,0.017904702966726527,0.9516161616161616,0.048712533576651326,0.91,100,0.9004229142637448
3,0.99,0.88,0.86,0.8998997493734334,0.09997500959716818,0.8621212121212121,0.105063373337716,0.88,100,0.8900422914263745
5,0.94,0.87,0.89,0.9078446115288219,0.07667582189603031,0.8982828282828283,0.07869724131267554,0.87,100,0.869281045751634
7,0.94,0.84,0.9,0.8692731829573933,0.06974187584712345,0.9003030303030304,0.0733197666722903,0.84,100,0.8612072279892349
9,0.9,0.82,0.86,0.8487468671679197,0.07237381854471718,0.8721212121212123,0.08596570857446072,0.82,100,0.843521722414456
11,0.9,0.83,0.86,0.8782706766917293,0.05504432716482174,0.8923232323232323,0.07723832336386921,0.83,100,0.8404459823144944
13,0.91,0.86,0.86,0.809172932330827,0.05998925789983334,0.8419191919191921,0.10200845016822824,0.86,100,0.8254517493271819
15,0.9,0.84,0.86,0.7781203007518797,0.09145169375207766,0.8217171717171718,0.09906537011676582,0.84,100,0.8123798539023452
17,0.89,0.82,0.81,0.7089724310776943,0.08304698007448459,0.7824242424242425,0.11349256895425329,0.82,100,0.790080738177624
21,0.84,0.78,0.78,0.6302506265664161,0.035170293098704265,0.6597979797979797,0.08694945739926344,0.78,100,0.740484429065744
25,0.7,0.76,0.67,0.5801503759398496,0.031887894786787094,0.6095959595959596,0.08726506934228345,0.76,100,0.6593617839292579
31,0.61,0.67,0.56,0.5490977443609022,0.03625280146291402,0.5714141414141414,0.06256929634589056,0.67,100,0.5655517108804307
41,0.53,0.62,0.53,0.5300501253132832,0.010037711318811477,0.5303030303030303,0.0250496904396712,0.62,100,0.48981161091887737
51,0.53,0.6,0.53,0.5300501253132832,0.010037711318811477,0.5303030303030303,0.0250496904396712,0.6,100,0.4809688581314879
61,0.53,0.6,0.53,0.5300501253132832,0.010037711318811477,0.5303030303030303,0.0250496904396712,0.6,100,0.4809688581314879
81,0.53,0.6,0.53,0.5300501253132832,0.010037711318811477,0.5303030303030303,0.0250496904396712,0.6,100,0.4809688581314879
99,0.53,0.6,0.53,0.5300501253132832,0.010037711318811477,0.5303030303030303,0.0250496904396712,0.6,100,0.4809688581314879
