model_a,model_b,acc_a,acc_b,delta_pp,n_test,discordant_a_correct,discordant_b_correct,statistic,method,p_value,p_adjusted_holm,significant_05_holm
J48 M=2 (pruned),IBk k=1,0.9471057884231537,0.97624750499002,-2.914171656686626,5010,56,202,81.4922480620155,chi-square with continuity correction,1.7595037150815761e-19,3.3430570586549947e-18,True
J48 M=2 (pruned),IBk k=5,0.9471057884231537,0.974251497005988,-2.714570858283427,5010,50,186,77.22457627118644,chi-square with continuity correction,1.5258302874974326e-18,2.441328459995892e-17,True
J48 M=2 (pruned),IBk k=11,0.9471057884231537,0.9730538922155688,-2.594810379241508,5010,52,182,71.11538461538461,chi-square with continuity correction,3.3693252921893004e-17,4.0431903506271603e-16,True
J48 M=2 (pruned),"sklearn DT (entropy, M=2)",0.9471057884231537,0.9461077844311377,0.09980039920159944,5010,112,107,0.0730593607305936,chi-square with continuity correction,0.7869333490922887,1.0,False
J48 M=2 (pruned),sklearn kNN k=1,0.9471057884231537,0.975249500998004,-2.8143712574850266,5010,63,204,73.40823970037454,chi-square with continuity correction,1.0542507148824776e-17,1.370525929347221e-16,True
J48 M=2 (pruned),sklearn kNN k=5,0.9471057884231537,0.9744510978043912,-2.734530938123747,5010,54,191,75.4938775510204,chi-square with continuity correction,3.6654168549108264e-18,5.49812528236624e-17,True
IBk k=1,IBk k=5,0.97624750499002,0.974251497005988,0.1996007984031989,5010,42,32,1.0945945945945945,chi-square with continuity correction,0.2954554327459229,1.0,False
IBk k=1,IBk k=11,0.97624750499002,0.9730538922155688,0.3193612774451182,5010,49,33,2.7439024390243905,chi-square with continuity correction,0.09762609049353649,1.0,False
IBk k=1,"sklearn DT (entropy, M=2)",0.97624750499002,0.9461077844311377,3.0139720558882255,5010,201,50,89.64143426294821,chi-square with continuity correction,2.8548215133242302e-21,5.995125177980883e-20,True
IBk k=1,sklearn kNN k=1,0.97624750499002,0.975249500998004,0.09980039920159944,5010,10,5,5.0,exact binomial,0.30175781249999994,1.0,False
IBk k=1,sklearn kNN k=5,0.97624750499002,0.9744510978043912,0.179640718562879,5010,37,28,0.9846153846153847,chi-square with continuity correction,0.3210619922539037,1.0,False
IBk k=5,IBk k=11,0.974251497005988,0.9730538922155688,0.11976047904191933,5010,18,12,0.8333333333333334,chi-square with continuity correction,0.3613104285261789,1.0,False
IBk k=5,"sklearn DT (entropy, M=2)",0.974251497005988,0.9461077844311377,2.8143712574850266,5010,193,52,80.0,chi-square with continuity correction,3.7440973842028864e-19,6.739375291565196e-18,True
IBk k=5,sklearn kNN k=1,0.974251497005988,0.975249500998004,-0.09980039920159944,5010,38,43,0.19753086419753085,chi-square with continuity correction,0.6567212865637704,1.0,False
IBk k=5,sklearn kNN k=5,0.974251497005988,0.9744510978043912,-0.01996007984031989,5010,10,11,10.0,exact binomial,1.0,1.0,False
IBk k=11,"sklearn DT (entropy, M=2)",0.9730538922155688,0.9461077844311377,2.6946107784431073,5010,187,52,75.1297071129707,chi-square with continuity correction,4.407839794726545e-18,6.170975712617163e-17,True
IBk k=11,sklearn kNN k=1,0.9730538922155688,0.975249500998004,-0.21956087824351878,5010,39,50,1.1235955056179776,chi-square with continuity correction,0.28914556379724804,1.0,False
IBk k=11,sklearn kNN k=5,0.9730538922155688,0.9744510978043912,-0.13972055888223922,5010,19,26,0.8,chi-square with continuity correction,0.37109336952269756,1.0,False
"sklearn DT (entropy, M=2)",sklearn kNN k=1,0.9461077844311377,0.975249500998004,-2.914171656686626,5010,55,201,82.12890625,chi-square with continuity correction,1.2749429188245142e-19,2.5498858376490285e-18,True
"sklearn DT (entropy, M=2)",sklearn kNN k=5,0.9461077844311377,0.9744510978043912,-2.8343313373253465,5010,54,196,79.524,chi-square with continuity correction,4.764029936691133e-19,8.098850892374927e-18,True
sklearn kNN k=1,sklearn kNN k=5,0.975249500998004,0.9744510978043912,0.07984031936127955,5010,38,34,0.125,chi-square with continuity correction,0.7236736098317629,1.0,False
