model_a,model_b,acc_a,acc_b,delta_pp,n_test,discordant_a_correct,discordant_b_correct,statistic,method,p_value,p_adjusted_holm,significant_05_holm
J48 M=2 (pruned),IBk k=1,0.9677734375,0.98681640625,-1.904296875,2048,11,50,23.672131147540984,chi-square with continuity correction,1.1422472387229622e-06,2.0673606471846803e-05,True
J48 M=2 (pruned),IBk k=5,0.9677734375,0.98388671875,-1.611328125,2048,13,46,17.35593220338983,chi-square with continuity correction,3.099293441045214e-05,0.0004648940161567821,True
J48 M=2 (pruned),IBk k=11,0.9677734375,0.982421875,-1.46484375,2048,15,45,14.016666666666667,chi-square with continuity correction,0.00018119740367390829,0.0021743688440868996,True
J48 M=2 (pruned),"sklearn DT (entropy, M=2)",0.9677734375,0.96728515625,0.048828125,2048,26,25,0.0,chi-square with continuity correction,1.0,1.0,False
J48 M=2 (pruned),sklearn kNN k=1,0.9677734375,0.9873046875,-1.953125,2048,11,51,24.532258064516128,chi-square with continuity correction,7.307611395475865e-07,1.4698052229677698e-05,True
J48 M=2 (pruned),sklearn kNN k=5,0.9677734375,0.98388671875,-1.611328125,2048,13,46,17.35593220338983,chi-square with continuity correction,3.099293441045214e-05,0.0004648940161567821,True
IBk k=1,IBk k=5,0.98681640625,0.98388671875,0.29296875,2048,15,9,9.0,exact binomial,0.30745625495910645,1.0,False
IBk k=1,IBk k=11,0.98681640625,0.982421875,0.439453125,2048,17,8,8.0,exact binomial,0.10775214433670044,1.0,False
IBk k=1,"sklearn DT (entropy, M=2)",0.98681640625,0.96728515625,1.953125,2048,52,12,23.765625,chi-square with continuity correction,1.0880845511498316e-06,2.0673606471846803e-05,True
IBk k=1,sklearn kNN k=1,0.98681640625,0.9873046875,-0.048828125,2048,1,2,1.0,exact binomial,1.0,1.0,False
IBk k=1,sklearn kNN k=5,0.98681640625,0.98388671875,0.29296875,2048,14,8,8.0,exact binomial,0.28627872467041016,1.0,False
IBk k=5,IBk k=11,0.98388671875,0.982421875,0.146484375,2048,8,5,5.0,exact binomial,0.5810546875,1.0,False
IBk k=5,"sklearn DT (entropy, M=2)",0.98388671875,0.96728515625,1.66015625,2048,47,13,18.15,chi-square with continuity correction,2.0416942840345106e-05,0.0003266710854455217,True
IBk k=5,sklearn kNN k=1,0.98388671875,0.9873046875,-0.341796875,2048,8,15,8.0,exact binomial,0.21003961563110352,1.0,False
IBk k=5,sklearn kNN k=5,0.98388671875,0.98388671875,0.0,2048,5,5,5.0,exact binomial,1.0,1.0,False
IBk k=11,"sklearn DT (entropy, M=2)",0.982421875,0.96728515625,1.513671875,2048,46,15,14.754098360655737,chi-square with continuity correction,0.00012248100770987947,0.001592253100228433,True
IBk k=11,sklearn kNN k=1,0.982421875,0.9873046875,-0.48828125,2048,8,18,3.1153846153846154,chi-square with continuity correction,0.0775561667436655,0.8531178341803205,False
IBk k=11,sklearn kNN k=5,0.982421875,0.98388671875,-0.146484375,2048,7,10,7.0,exact binomial,0.629058837890625,1.0,False
"sklearn DT (entropy, M=2)",sklearn kNN k=1,0.96728515625,0.9873046875,-2.001953125,2048,12,53,24.615384615384617,chi-square with continuity correction,6.999072490322713e-07,1.4698052229677698e-05,True
"sklearn DT (entropy, M=2)",sklearn kNN k=5,0.96728515625,0.98388671875,-1.66015625,2048,12,46,18.775862068965516,chi-square with continuity correction,1.4701607930829403e-05,0.00024992733482409986,True
sklearn kNN k=1,sklearn kNN k=5,0.9873046875,0.98388671875,0.341796875,2048,14,7,7.0,exact binomial,0.18924713134765625,1.0,False
