dataset,model,hyperparameter,weka_accuracy,sklearn_accuracy,delta_pp,note
"circle (x,y)",decision tree,pruned M=2,0.88,0.87,-1.0,"WEKA leaves=5, sklearn leaves=9"
"circle (x,y)",decision tree,unpruned M=1,0.88,0.85,-3.0,"WEKA leaves=5, sklearn leaves=11"
"square inner (x,y)",decision tree,pruned M=2,0.92,0.96,4.0,"WEKA leaves=5, sklearn leaves=5"
"square inner (x,y)",decision tree,unpruned M=1,0.92,0.96,4.0,"WEKA leaves=5, sklearn leaves=5"
"(x^2,y^2)",decision tree,pruned M=2,0.88,0.89,1.0,"WEKA leaves=5, sklearn leaves=6"
"(x^2,y^2)",decision tree,unpruned M=1,0.88,0.87,-1.0,"WEKA leaves=5, sklearn leaves=7"
u=x^2+y^2,decision tree,pruned M=2,1.0,1.0,0.0,"WEKA leaves=2, sklearn leaves=2"
u=x^2+y^2,decision tree,unpruned M=1,1.0,1.0,0.0,"WEKA leaves=2, sklearn leaves=2"
digits (Bigtest1 -> Bigtest2),decision tree,M=1,0.951497,0.9558882235528942,0.44,"leaves WEKA=144, sklearn=164"
digits (Bigtest1 -> Bigtest2),decision tree,M=2,0.953094,0.95249500998004,-0.06,"leaves WEKA=108, sklearn=134"
digits (Bigtest1 -> Bigtest2),decision tree,M=3,0.953493,0.9552894211576848,0.18,"leaves WEKA=85, sklearn=117"
digits (Bigtest1 -> Bigtest2),decision tree,M=5,0.952295,0.9512974051896208,-0.1,"leaves WEKA=57, sklearn=99"
digits (Bigtest1 -> Bigtest2),decision tree,M=10,0.944112,0.9457085828343312,0.16,"leaves WEKA=46, sklearn=78"
