dataset,k,inertia,bic,silhouette,classes_to_clusters_acc
gausstrain (2 gaussians),2,653.2247028139782,215.30612036999636,0.5215774178898933,0.96
gausstrain (2 gaussians),3,477.0355681893374,197.6886185293909,0.43494636553886523,0.97
gausstrain (2 gaussians),4,375.6832387187984,187.61965744438012,0.38631507328149,0.95
gausstrain (2 gaussians),5,287.3357662710987,174.6256791170666,0.35737734693219414,0.94
gausstrain (2 gaussians),6,248.16623971835006,173.78592905346358,0.3360663806262819,0.92
gausstrain (2 gaussians),8,183.37543690734614,171.16062776988394,0.3540823581367232,0.93
Bigtest1_104 (10 digits),2,108133.12001613785,19222.708521378263,0.17385627148040964,0.22725763612217795
Bigtest1_104 (10 digits),3,96076.56070002593,19424.43342828954,0.1939468689114374,0.3197211155378486
Bigtest1_104 (10 digits),4,87894.30819555043,19802.103402102224,0.18329308283733173,0.4161686586985392
Bigtest1_104 (10 digits),5,83328.4293138365,20394.619705292145,0.1657915509590886,0.5089641434262948
Bigtest1_104 (10 digits),6,79356.0869268516,21014.247893009357,0.16254416632426855,0.598937583001328
Bigtest1_104 (10 digits),8,68953.80724076106,21995.562112067626,0.1956176031348592,0.7762284196547145
Bigtest1_104 (10 digits),10,64013.14342590491,23375.423821303848,0.20287371948800198,0.9455511288180611
Bigtest1_104 (10 digits),15,59490.625133422654,27503.38826904619,0.1594799433672079,0.9347609561752988
Bigtest1_104 (10 digits),20,56474.9286693405,31759.349156162345,0.1355980722047166,0.9397410358565738
Bigtest1_104 (10 digits),30,52130.71394876356,40415.8552135529,0.11569776037532574,0.9382470119521913
Bigtest1_104 (10 digits),40,49435.31698702858,49234.72794031972,0.09047385547186115,0.9516932270916335
