NB_QUEENS,SUCCESSFUL_RUNS,TOTAL_RUNS,SUCCESS_PERCENTAGE,RUN_1_MIN,RUN_2_MIN,RUN_3_MIN,RUN_4_MIN,RUN_5_MIN,RUN_6_MIN,RUN_7_MIN,RUN_8_MIN,RUN_9_MIN,RUN_10_MIN
2,0,10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,10,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,9,10,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,8,10,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
14,6,10,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
15,9,10,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,6,10,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
17,7,10,70.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,8,10,80.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19,7,10,70.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20,5,10,50.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
21,9,10,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,4,10,40.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
23,6,10,60.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
24,4,10,40.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
25,4,10,40.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
26,4,10,40.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
27,4,10,40.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
28,5,10,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
29,4,10,40.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
30,2,10,20.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
31,6,10,60.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32,3,10,30.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0
33,3,10,30.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0
34,7,10,70.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35,4,10,40.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
36,3,10,30.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0
37,4,10,40.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0
38,3,10,30.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0
39,3,10,30.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
40,1,10,10.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
41,3,10,30.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0
42,0,10,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
43,1,10,10.0,2.0,2.0,4.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0
44,2,10,20.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0
45,1,10,10.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
46,0,10,0.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
47,2,10,20.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0
48,1,10,10.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0
49,1,10,10.0,2.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
50,1,10,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0
