representation,parameter,value,mean_best,std_best,min_best,runs_within_1pct
bit,indpb,0.005,0.9454757893281169,0.24650317577913303,0.5003435952596446,1
bit,indpb,0.01,0.8001072278597517,0.2778710310941946,0.5021364026208489,1
bit,indpb,0.02,0.5471369146266201,0.09361952957648843,0.5000007351865644,4
bit,indpb,0.05,0.5004023583883546,0.00017397368103164613,0.5002552993049966,5
bit,indpb,0.1,0.642431359444162,0.24272634482675304,0.5001762293131079,2
bit,indpb,0.2,0.5855094434480105,0.08916650520742084,0.5072937713170604,0
float,sigma,0.05,1.8050050267511153,0.8411821234500879,0.5011312971405275,1
float,sigma,0.2,0.5005008178047755,0.00039016973724270867,0.5001199921262663,5
float,sigma,1.0,0.5016077552098588,0.0008723133667997585,0.5006852046365415,5
float,sigma,5.0,0.5051027241494307,0.002670229193781811,0.5020987136494198,3
