representation,seed,best_fitness,x,y,z,fitness_invocations,wall_clock_s,gap_to_analytic
float,1,0.5003733707431188,19.999952511173127,29.999255119434025,-127.23391221350224,18460,0.3,0.00037337074311882823
float,2,0.5001199921262663,19.999805042049196,30.00013866370486,224.6247367864462,18267,0.25,0.00011999212626634392
float,3,0.5002124209501674,20.00028227945677,29.999682628448465,-83.25189048638093,18380,0.26,0.00021242095016738016
float,4,0.500583417585893,20.00062448171112,29.999014995730285,-171.21605546833914,18330,0.25,0.0005834175858929758
float,5,0.5012148876184316,20.001643862259684,29.998248002944866,-39.27512904763973,18326,0.25,0.0012148876184315816
bit,1,1.125000151529377,19.999995613470674,31.250000261934474,136.6591452496677,18074,0.59,0.625000151529377
bit,2,0.5140243467755009,20.012158220645176,29.978109784403898,-133.57187144790953,18203,0.59,0.014024346775500907
bit,3,1.1250001310493563,19.99998071230948,31.250000261934474,155.5088389716193,18305,0.59,0.6250001310493563
bit,4,0.7343751073236758,19.53124978535925,30.000000521540642,174.35839020121693,18296,0.59,0.23437510732367584
bit,5,0.5021364026208489,20.004272712398574,30.000001452863273,42.411804471548464,18016,0.58,0.0021364026208489095
