model,true_class,predicted_class,count
kNN,setosa,setosa,15
kNN,setosa,versicolor,0
kNN,setosa,virginica,0
kNN,versicolor,setosa,0
kNN,versicolor,versicolor,14
kNN,versicolor,virginica,1
kNN,virginica,setosa,0
kNN,virginica,versicolor,1
kNN,virginica,virginica,14
DecisionTree,setosa,setosa,15
DecisionTree,setosa,versicolor,0
DecisionTree,setosa,virginica,0
DecisionTree,versicolor,setosa,0
DecisionTree,versicolor,versicolor,14
DecisionTree,versicolor,virginica,1
DecisionTree,virginica,setosa,0
DecisionTree,virginica,versicolor,0
DecisionTree,virginica,virginica,15
