model,hyperparameter,k_or_depth,holdout_accuracy,cv5_mean,cv5_std,n_leaves
kNN,k=1,1,0.9333333333333333,0.9533333333333334,0.04988876515698587,
kNN,k=3,3,0.9555555555555556,0.9533333333333334,0.04988876515698587,
kNN,k=5,5,0.9777777777777777,0.9666666666666668,0.029814239699997188,
kNN,k=7,7,0.9555555555555556,0.96,0.038873012632301994,
kNN,k=9,9,0.9555555555555556,0.96,0.024944382578492935,
kNN,k=11,11,0.9333333333333333,0.9733333333333334,0.024944382578492935,
kNN,k=15,15,0.9555555555555556,0.9800000000000001,0.016329931618554516,
kNN,k=21,21,0.9555555555555556,0.9533333333333334,0.039999999999999994,
DecisionTree,max_depth=1,1,0.6666666666666666,0.6666666666666666,0.0,2
DecisionTree,max_depth=2,2,0.8888888888888888,0.9400000000000001,0.024944382578492935,3
DecisionTree,max_depth=3,3,0.9777777777777777,0.96,0.024944382578492935,5
DecisionTree,max_depth=4,4,0.8888888888888888,0.9533333333333335,0.03399346342395189,7
DecisionTree,max_depth=5,5,0.9333333333333333,0.9466666666666667,0.02666666666666666,8
DecisionTree,max_depth=6,6,0.9333333333333333,0.9533333333333335,0.03399346342395189,8
DecisionTree,max_depth=8,8,0.9333333333333333,0.9533333333333335,0.03399346342395189,8
DecisionTree,max_depth=10,10,0.9333333333333333,0.9533333333333335,0.03399346342395189,8
DecisionTree,max_depth=None,-1,0.9333333333333333,0.9533333333333335,0.03399346342395189,8
