model,hyperparameter,value,mean,std
kNN,k=1,1,0.9566666666666667,0.028480012484391762
kNN,k=3,3,0.9586666666666668,0.030228757463345687
kNN,k=5,5,0.9646666666666667,0.026170381901854018
kNN,k=7,7,0.9640000000000001,0.028158282775923825
kNN,k=9,9,0.9640000000000001,0.029694743268426776
kNN,k=11,11,0.9713333333333334,0.025828494170414017
kNN,k=15,15,0.9733333333333334,0.02748737083745106
kNN,k=21,21,0.9593333333333334,0.03418251664878471
DecisionTree,max_depth=1,1,0.6666666666666665,1.1102230246251565e-16
DecisionTree,max_depth=2,2,0.9353333333333335,0.03490304030055579
DecisionTree,max_depth=3,3,0.9400000000000002,0.03711842908553348
DecisionTree,max_depth=4,4,0.9406666666666668,0.03846499129800441
DecisionTree,max_depth=5,5,0.938,0.038878728831528875
DecisionTree,max_depth=None,-1,0.9386666666666666,0.03964284999284934
