@relation circle
@attribute z real
@attribute t real
@attribute class {q,c}


@data

0.7575953,0.2426843,q
1.0683128,1.1298954,q
1.5399797,1.4211763,q
0.3001999,0.1234889,c
0.3787951,0.0007192,c
0.0045332,1.3026967,q
0.3990625,0.0137776,c
0.2475190,1.4317465,q
0.8826294,0.5762705,q
0.1538721,0.0000969,c
0.6047022,0.2734440,c
0.0702287,0.0691211,c
1.0401129,0.6791856,q
1.2526807,1.0102188,q
0.1933539,1.4666467,q
0.8973845,0.0025896,q
1.4247278,0.0147628,q
0.2011136,0.3552713,c
1.0469724,1.2289680,q
0.2163068,0.6441875,c
0.8578592,0.6150252,q
1.2954802,0.0105299,q
0.6336365,0.9714139,q
0.0791917,0.9420879,q
0.2811171,0.0226357,c
0.9479450,1.3565339,q
0.1278704,0.0303384,c
0.7580602,0.0348536,q
0.1475929,1.5028089,q
0.5409214,1.4657231,q
0.3693693,0.6196843,c
0.8782657,0.9615134,q
0.0229005,0.4342151,c
0.8442782,0.0310736,q
0.5115917,0.4719012,c
0.1474757,0.2486590,c
0.2482407,0.2081529,c
0.9062960,0.9472767,q
1.1810669,0.0416512,q
0.6111864,0.9463867,q
1.1315179,0.9063687,q
0.8371430,1.4600020,q
0.0072941,0.0112949,c
0.7009253,0.0357567,c
0.8601966,0.0007315,q
0.5752274,1.3250514,q
0.5619394,0.6672294,c
0.3745817,0.4991697,c
0.1081773,1.1601010,q
0.5966605,0.2075268,c
0.0001417,0.1472706,c
0.5502761,0.1061543,c
1.2898421,0.9639089,q
0.6482343,1.2621200,q
0.1743218,1.4354920,q
0.1635670,0.0033808,c
1.1298954,0.3289460,q
0.5350457,0.2303666,c
0.3520500,0.2145362,c
0.0836101,0.7110815,c
0.1532432,0.0112382,c
0.8501783,0.1488579,q
0.5132849,0.4393096,c
0.3194346,0.0735630,c
1.4084687,0.9469053,q
0.0448872,0.0444046,c
0.2332685,0.0009313,c
0.0100731,0.2973641,c
0.0717737,1.3864653,q
0.0141473,1.1026506,q
0.6837833,0.2683216,c
0.4625665,0.0426695,c
0.8572949,0.6393581,q
0.0981098,1.4259119,q
0.4079807,0.5836512,c
1.5032745,0.7219009,q
0.7972133,1.4790519,q
0.1123563,0.1201074,c
0.9687087,0.0979187,q
0.5849912,0.0084870,c
0.0964205,0.3238925,c
0.0041907,0.0087633,c
0.3286426,0.0070239,c
0.0215360,0.6294539,c
0.9004949,0.2344861,q
0.0360469,0.3874358,c
1.5090810,0.1149044,q
0.0002123,0.0745804,c
0.1810430,0.0840519,c
0.0307651,1.4161786,q
0.7291804,1.3286005,q
0.0005031,0.6088029,c
0.0300609,1.5276963,q
1.5172467,0.3504222,q
0.0237628,0.1442994,c
0.3072637,1.4684048,q
0.8289261,0.5075073,q
0.2848916,0.0172002,c
0.3631821,0.1407567,c
0.4801656,0.0065959,c
