iter	RMSE
0	89.3538941
1	86.98154347
2	84.91404676
3	82.54296619
4	80.29092338
5	78.19114368
6	76.24423143
7	74.34635919
8	72.2839058
9	70.47310886
10	68.84226148
11	66.99232964
12	65.57577714
13	63.9546245
14	62.43381248
15	61.0150964
16	59.37247282
17	58.00061114
1818	55.65030819	19	54.37644020	53.92803924
21	52.51894176
22	22	50.41442823	23	49.10091624	24	48.03798367
25	46.82805767
26	45.90782495
27	44.73537412
28	43.5893385
29	42.51105892
30	41.43231	41.31	40.35532	40.32	39.47433	39.33	38.56834	38.65724548
35	37.79897984
36	36.92543155
37	36.17494602
38	35.38	34.66521368
39	34.11291462
40	33.39312172
41	32.64845402
42	32.03100027
43	31.26574902
44	30.61971084
45	29.98380817
46	29.45683318
47	28.84447297
48	28.29629521
49	27.73922418
50	27.26207969
51	26.74899986
52	26.34760011
53	25.94501803
54	25.40237738
55	24.94782664
56	24.49659325
57	24.00686621
58	23.63118176
59	23.12053444
60	22.68390538
61	22.21160427
62	21.80913782
63	21.36237233
64	20.96793342
65	20.51396521
66	20.12346344
67	19.73179332
68	19.33191263
69	18.97307329
70	18.75298945
71	18.48127155
72	18.1576839
73	17.8313123
74	17.55971445
75	17.21609715
76	16.93059999
77	178	16.4275278	179	16.1595679	180	15.9298280	181	15.74823906
82	15.50970075
83	15.29767479
84	15.06549728
85	14.85307162
86	14.65795672
87	14.49456034
88	14.27736006
89	14.10537217
90	13.8980935
91	13.70972013
92	13.62687451
93	13.43209301
94	13.28669806
95	13.09468254
96	12.94676268
97	12.77733619
98	12.61232541
99	12.44651677
100	12.30560954
101	12.20706404
102	12.03477773
103	11.87628918
104	11.71211733
105	11.54451902
106	11.44039817
107	11.27395598
108	11.12498173
109	11.01266934
110	10.87385451
111	10.73816837
112	10.60767361
113	10.4989913
114	10.36201424
115	10.23274277
116	10.10047244
117	9.974390446
11118	9.678843025
119	9.559435577
120	9.467491376
121	9.34840804
122	9.237074841
123	9.110814527
124	8.996703263
125	8.921484924
126	8.847474535
127	8.76702847
128	8.696638091
129	8.632284538
130	8.541782493
131	8.496468493
132	8.408811394
133	8.338226958
134	8.261242006
135	8.193416523
136	8.126578667
137	8.046891835
138	7.988167119
139	7.920801892
140	7.857423965
141	7.798217928
142	7.731064467
143	7.683168282
144	7.65570961
145	7.580085788
146	7.508029067
147	7.459317617
148	7.422144459
149	7.365641693
150	7.311889584
151	7.259725311
152	7.209807974
153	7.167188158
154	7.120893544
155	7.060768179
156	7.016411366
157	6.968258806
158	6.925364944
159	6.883056003
160	6.822073543
161	6.787863363
162	6.733908679
163	6.69164	6.84164	6.66165	6.79165	6.63166	6.761043863
167	6.721297531
168	6.678582008
169	6.638115167
170	6.601449002
171	6.574732845
172	6.540107254
173	6.5173	6.122174	6.4174	6.093166773
175	6.060942396
176	6.031721029
177	6.010905208
178	5.975090272
179	5.94408344
180	5.912913136
181	5.874554361
182	5.848737756
183	5.823429058
184	5.801045274
185	5.773911688
186	5.746997164
187	5.70721307
188	5.682388624
189	5.6627190	5.994925202
191	5.969165961
192	5.940824294
193	5.916318386
194	5.886629104
195	5.868171408
196	5.196	5.4984197	5.197	5.477829514
198	5.45744043
199	5.440960927
200	5.421619877
201	5.385190478
202	5.369219248
203	5.351431413
204	5.331839266
205	5.311791344
206	5.300689781
207	5.283310859
208	5.267110824
209	5.251163356
210	5.219837358
211	5.202952802
212	5.187386297
213	5.172457546
214	5.157990055
215	5.141208278
216	5.127828196
217	5.101991718
218	5.088353453
219	5.074339501
220	5.060802677
221	5.046550739
222	5.031367666
223	5.005825892
224	4.991294684
225	4.979433339
226	4.965491965
227	4.951974474
228	4.940534209
229	4.930837529
230	4.916446493
231	4.906787985
232	4.893255844
233	4.877419346
234	4.864661521
235	4.843067562
236	4.833978655
237	4.823993187
238	4.809716371
239	4.800892232
240	4.788101315
241	4.765970236
242	4.754560005
243	4.74227271
244	4.729417658
245	4.708272718
246	4.695455338
247	4.682725595
248	4.674692587
249	4.666800727
250	4.656953123
251	4.638150367
252	4.62875846
253	4.616994441
254	4.60587116
255	4.598501611
256	4.587934525
257	4.567798834
258	4.557417924
259	4.536852888
260	4.529908262
261	4.523255891
262	4.505369833
263	4.495696338
264	4.479397628
265	4.469132852
266	4.46362373
267	4.446132311
268	4.4303409
269	4.417468092
270	4.408686803
271	4.399868606
272	4.390823368
273	4.384912562
274	4.379512211
275	4.36667682
276	4.358269251
277	4.340133306
278	4.329766116
279	4.322887902
280	4.314565395
281	4.309697676
282	4.305520265
283	4.294134648
284	4.28694884
285	4.273143372
286	4.261742018
287	4.256267033
288	4.251697096
289	4.240726268
290	4.234256213
291	4.221420648
292	4.21182432
293	4.209930512
294	4.202919423
295	4.196345631
296	4.192194516
297	4.187212753
298	4.17803047
299	4.170904589
300	4.161478161
301	4.156750812
302	4.152088187
303	4.143951039
304	4.139955203
305	4.125501778
306	4.12065554
307	4.116891633
308	4.110468473
309	4.104478014
310	4.093260508
311	4.084695632
312	4.081266629
313	4.07222306
314	4.066945092
315	4.064785258
316	4.057139495
317	4.051970628
318	4.043059526
319	4.026894031
320	4.022531477
321	4.017296483
322	4.015289124
323	4.011252853
324	4.007600484
325	4.002376779
326	3.993925624
327	3.990480705
328	3.986831932
329	3.983252867
330	3.970430169
331	3.957734058
332	3.95465772
333	3.945054448
334	3.940857396
335	3.931335964
336	3.92811786
337	3.915598504
338	3.914364333
339	3.910973745
340	3.90253429
341	3.898464194
342	3.891035061
343	3.889059454
344	3.886003272
345	3.879436211
346	3.876685044
347	3.873732923
348	3.870050051
349	3.867188663
350	3.865546551
351	3.861327118
352	3.853601922
353	3.850876618
354	3.847105992
355	3.843553689
356	3.834223668
357	3.83068854
358	3.826435026
359	3.815084045
360	3.812529574
361	3.809563289
362	3.801416655
363	3.798476975
364	3.785692123
365	3.784621529
366	3.781538989
367	3.778504491
368	3.764782631
369	3.757693887
370	3.751027378
371	3.748137389
372	3.73900839
373	3.732177467
374	3.725123016
375	3.721035282
376	3.718703255
377	3.715823942
378	3.713179505
379	3.705467788
380	3.702330979
381	3.700660012
382	3.698267311
383	3.696676723
384	3.690500856
385	3.683240344
386	3.677571525
387	3.671096388
388	3.667961015
389	3.662079045
390	3.65974957
391	3.645274638
392	3.636981855
393	3.630193943
394	3.61675832
395	3.613861539
396	3.611462975
397	3.605480648
398	3.602214077
399	3.600193467
400	3.593754113
401	3.590464631
402	3.589263178
403	3.586483092
404	3.577052583
405	3.572319429
406	3.570076639
407	3.567395964
408	3.564471336
409	3.562341185
410	3.560526363
411	3.541074755
412	3.5339826
413	3.522560605
414	3.517408801
415	3.514693081
416	3.512116182
417	3.510108725
418	3.50337065
419	3.501256062
420	3.499961024
421	3.494035164
422	3.487713951
423	3.485905823
424	3.484278895
425	3.481311368
426	3.480051308
427	3.478066533
428	3.471719032
429	3.470115512
430	3.467334696
431	3.462199446
432	3.457133227
433	3.450786264
434	3.44813477
435	3.446916341
436	3.437706481
437	3.436214253
438	3.431211108
439	3.418646844
440	3.407722121
441	3.403875794
442	3.397865868
443	3.397127591
444	3.392373178
445	3.390702682
446	3.382237567
447	3.380064976
448	3.378245473
449	3.376334714
450	3.374495448
451	3.373427192
366263
