iter	Passed	Remaining
0	0	125
1	0	95
2	0	86
3	0	82
4	1	97
5	1	103
6	1	97
7	1	93
8	1	91
9	2	97
10	2	94
11	2	91
12	2	92
13	2	90
14	3	88
15	3	85
16	3	85
17	3	85
18	3	84
19	3	84
20	4	84
21	4	84
22	4	83
23	4	82
24	4	81
25	4	80
26	5	80
27	5	79228	5	80
29	5	81
30	6	82
31	6	84
32	6	84
33	6	83
34	7	83
35	7	83
36	7	84
37	7	83
38	7	83
39	7	82
40	8	84141	8	842	9	86
43	9	86
44	9	85
45	9	85
46	9	84
47	10	84
48	10	83
49	10	83550	10	85151	10	52	52	10	53	10	76
54	10	77
55	10	77
56	11	76
57	11	76
58	11	76
59	11	75
60	11	75
61	11	74
62	12	74
63	12	74
64	12	74
65	12	74
66	12	74
67	13	61	68	13	62	69	13	63	70	13	64	71	13	65	72	13	66	16	93
67	16	74	15	79
75	16	79
76	16	79
77	16	79
78	16	79
79	16	78
80	17	78
81	17	78
82	17	78
83	18	79
84	18	79
85	18	78
86	18	78
87	18	78
88	19	78
89	19	78
90	19	78
91	19	77
92	19	77
93	20	77
94	20	77
95	20	77
96	21	77
97	21	77
98	21	76
99	21	76
100	22	76
101	22	76
102	22	76
103	22	75
104	22	75
105	23	75
106	23	75
107	23	74
108	23	74
109	23	74
110	24	74
111	24	73
112	24	73
113	24	72
114	24	72
115	24	71
116	25	71
117	25	118	25	71
119	25	71
120	26	71
121	26	72
122	26	71
123	27	71
124	27	71
125	27	71
126	27	70
127	27	70
128	28	70
129	28	69
130	28	69
131	28	69
132	28	69
133	29	69
134	29	68
135	29	68
136	29	68
137	30	68
138	30	68
139	30	67
140	30	67
141	30	67
142	31	66
143	31	66
144	31	66
145	31	66
146	31	65
147	31	65
148	31	65
149	32	64
150	32	64
151	32	64
152	32	64
153	33	64
154	33	63
155	33	63
156	33	63
157	33	62
158	33	62
159	34	62
160	34	61
161	34	61
162	34	61
163	34	60
164	34	60
165	34	60
166166	35	167167	35	168168	35	169169	36	170170	36	59
171	36	59
172	36	59
173	36	59
174	37	58
175	37	58
176	37	58
177	37	57
178	37	57
179	37	57
180	38	57
181	3178	3182	3179	3183	3180	4184	39	56
185	39	56
186	39	56
187	39	55
188	40	55
189	40	55
190	41	57
191	42	56
192	42	56
193	42	56
194	42	56
195	42	55
196	42	55
197	43	55
198	43	55
199	43	55
200	43	54
201	44	54
202	44	54
203	4200	4204	4201	4205	4202	45	55
203	45	55
204	46	55
205	46	55
206	46	54
207	46	54
208	46	54
209	47	54
210	47	53
211	47	53
212	47	53
213	47	53
214	48	52
215	48	52
216	48	52
217	48	52
218	49	52
219	49	52
220	49	52
221	49	51
222	50	51
223	50	51
224	50	51
225	50	50
226	51	50
227	51	50
228	51	50
229	51	50
230	52	49
231	52	49
232	52	49
233	52	49
234	52	48
235	53	48
236	53	48
237	53	48
238	54	48
239	54	47
240	54	47
241	54	47
242	54	47
243	55	46
244	55	46
245	55	46
246	55	46
247	55	45
248	55	45
249	56	45
250	56	45
251	56	44
252	56	44
253	56	44
254	56	43
255	57	43
256	57	43
257	57	43
258	57	43
259	58	42
260	58	42
261	58	42
262	58	42
263	58	41
264	58	41
265	59	41
266	59	41
267	59	40
268	59	40
269	59	40
270	60	40
271	60	39
272	60	39
273	60	39
274	61	39
275	61	39
276	61	38
277	61	38
278	61	38
279	61	38
280	62	37
281	62	37
282	62	37
283	62	37
284	62	36
285	63	36
286	63	36
287	63	36
288	63	35
289	63	35
290	63	35
291	64	35
292	64	34
293	64	34
294	64	34
295	64	34
296	64	33
297	65	33
298	65	33
299	65	33
300	65	33
301	66	32
302	66	32
303	67	32
304	67	32
305	67	32
306	67	32
307	68	31
308	68	31
309	68	31
310	68	31
311	69	30
312	69	30
313	69	30
314	69	30
315	69	30
316	69	29
317	70	29
318	70	29
319	70	29
320	70	28
321	70	28
322	70	28
323	71	28
324	71	28
325	71	27
326	72	27
327	72	27
328	72	27
329	72	26
330	73	26
331	73	26
332	73	26
333	73	26
334	74	25
335	74	25
336	74	25
337	74	25
338	74	24
339	77	25
340	77	25
341	77	24
342	77	24
343	77	24
344	78	24
345	78	24
346	78	23
347	78	23
348	79	23
349	79	23
350	79	22
351	79	22
352	80	22
353	80	22
354	80	22
355	80	21
356	81	21
357	81	21
358	81	21
359	82	20
360	82	20
361	82	20
362	82	20
363	83	20
364	83	19
365	83	19
366	83	19
367	84	19
368	84	19
369	84	18
370	86	18
371	87	18
372	87	18
373	87	18
374	87	18
375	88	17
376	88	17
377	88	17
378	88	17
379	89	16
380	89	16
381	89	16
382	89	16
383	89	15
384	90	15
385	90	15
386	90	15
387	90	15
388	91	14
389	91	14
390	91	14
391	92	14
392	92	13
393	92	13
394	92	13
395	93	13
396	93	12
397	93	12
398	93	12
399	94	12
400	94	11
401	94	11
402	94	11
403	94	11
404	95	11
405	95	10
406	95	10
407	95	10
408	95	10
409	96	9
410	96	9
411	96	9
412	96	9
413	96	8
414	96	8
415	97	8
416	97	8
417	97	7
418	97	7
419	97	7
420	98	7
421	98	6
422	98	6
423	98	6
424	98	6
425	98	6
426	99	5
427	99	5
428	99	5
429	99	5
430	99	4
431	99	4
432	99	4
433	99	4
434	100	3
435	100	3
436	100	3
437	100	3
438	100	2
439	100	2
440	100	2
441	100	2
442	101	2
443	101	1
444	101	1
445	101	1
446	101	1
447	101	0
448	101	0
449	101	0
450	101	0
451	101	0
