Math,Physics,Chemistry,Grade,Total_Score,Average_Score,Max_Score,Min_Score,Score_Range,Score_Std,Pass_Fail,Is_Above_Average,Math_Level,Physics_Level,Chemistry_Level
76,84,54,B+,214,71.33333333333333,84,54,30,15.534906930308058,1,1,High,High,Medium
91,75,78,A,244,81.33333333333333,91,75,16,8.504900548115383,1,1,High,High,High
64,98,20,C,182,60.666666666666664,98,20,78,39.10669166949991,1,1,Medium,High,Low
15,95,32,D,142,47.333333333333336,95,15,80,42.146569650842686,1,0,Low,High,Low
86,86,66,B+,238,79.33333333333333,86,66,20,11.547005383792516,1,1,High,High,Medium
18,41,11,F,70,23.333333333333332,41,11,30,15.695009822658072,0,0,Low,Medium,Low
86,50,38,C,174,58.0,86,38,48,24.979991993593593,1,1,High,Medium,Low
14,55,19,F,88,29.333333333333332,55,14,41,22.368132093076824,0,0,Low,Medium,Low
100,38,14,D,152,50.666666666666664,100,14,86,44.37717130838032,1,0,High,Low,Low
29,51,50,D,130,43.333333333333336,51,29,22,12.42309676905615,1,0,Low,Medium,Medium
19,25,25,F,69,23.0,25,19,6,3.4641016151377544,0,0,Low,Low,Low
30,45,60,D,135,45.0,60,30,30,15.0,1,0,Low,Medium,Medium
30,31,53,D,114,38.0,53,30,23,13.0,1,0,Low,Low,Medium
31,89,96,B+,216,72.0,96,31,65,35.679125549822544,1,1,Low,High,High
55,33,79,C,167,55.666666666666664,79,33,46,23.007245235649865,1,1,Medium,Low,High
84,62,72,B+,218,72.66666666666667,84,62,22,11.015141094572204,1,1,High,Medium,High
72,58,64,B,194,64.66666666666667,72,58,14,7.023769168568493,1,1,High,Medium,Medium
57,31,16,D,104,34.666666666666664,57,16,41,20.744477176668813,1,0,Medium,Low,Low
52,18,100,C,170,56.666666666666664,100,18,82,41.198705481281,1,1,Medium,Low,High
68,38,55,C,161,53.666666666666664,68,38,30,15.044378795195678,1,0,Medium,Low,Medium
40,55,75,C,170,56.666666666666664,75,40,35,17.559422921421234,1,1,Low,Medium,High
69,18,48,D,135,45.0,69,18,51,25.632011235952593,1,0,Medium,Low,Medium
30,38,100,C,168,56.0,100,30,70,38.31448812133603,1,1,Low,Low,High
76,13,32,D,121,40.333333333333336,76,13,63,32.31614663497697,1,0,High,Low,Low
77,56,39,C,172,57.333333333333336,77,39,38,19.03505538035898,1,1,High,Medium,Low
29,86,90,B,205,68.33333333333333,90,29,61,34.122328955294556,1,1,Low,High,High
16,28,98,D,142,47.333333333333336,98,16,82,44.286943147312996,1,0,Low,Low,High
19,75,20,D,114,38.0,75,19,56,32.046840717924134,1,0,Low,High,Low
63,35,58,C,156,52.0,63,35,28,14.933184523068078,1,0,Medium,Low,Medium
21,23,76,D,120,40.0,76,21,55,31.192947920964443,1,0,Low,Low,High
96,85,99,A+,280,93.33333333333333,99,85,14,7.3711147958319945,1,1,High,High,High
39,96,55,B,190,63.333333333333336,96,39,57,29.399546481762833,1,1,Low,High,Medium
47,15,61,D,123,41.0,61,15,46,23.57965224510319,1,0,Medium,Low,Medium
70,55,46,C,171,57.0,70,46,24,12.12435565298214,1,1,Medium,Medium,Medium
27,20,65,D,112,37.333333333333336,65,20,45,24.214320831552005,1,0,Low,Low,Medium
39,91,60,B,190,63.333333333333336,91,39,52,26.159765544311238,1,1,Low,High,Medium
86,68,56,B,210,70.0,86,56,30,15.0996688705415,1,1,High,Medium,Medium
18,13,29,F,60,20.0,29,13,16,8.18535277187245,0,0,Low,Low,Low
81,74,30,B,185,61.666666666666664,81,30,51,27.64657905299195,1,1,High,High,Low
73,18,37,D,128,42.666666666666664,73,18,55,27.934447074057747,1,0,High,Low,Low
41,55,67,C,163,54.333333333333336,67,41,26,13.012814197295423,1,0,Medium,Medium,Medium
19,82,89,B,190,63.333333333333336,89,19,70,38.55299383100271,1,1,Low,High,High
56,74,93,B+,223,74.33333333333333,93,56,37,18.502252115170556,1,1,Medium,High,High
92,42,38,C,172,57.333333333333336,92,38,54,30.088757590391353,1,1,High,Medium,Low
20,40,78,D,138,46.0,78,20,58,29.46183972531247,1,0,Low,Low,High
93,33,37,C,163,54.333333333333336,93,33,60,33.54598833442433,1,0,High,Low,Low
69,58,28,C,155,51.666666666666664,69,28,41,21.221058723196006,1,0,Medium,Medium,Low
75,16,47,D,138,46.0,75,16,59,29.512709126747414,1,0,High,Low,Medium
17,93,63,C,173,57.666666666666664,93,17,76,38.279672586548244,1,1,Low,High,Medium
74,100,52,B+,226,75.33333333333333,100,52,48,24.027761721253466,1,1,High,High,Medium
63,38,45,D,146,48.666666666666664,63,38,25,12.897028081435401,1,0,Medium,Low,Medium
38,47,98,B,183,61.0,98,38,60,32.357379374726875,1,1,Low,Medium,High
65,13,12,F,90,30.0,65,12,53,30.315012782448235,0,0,Medium,Low,Low
15,87,64,C,166,55.333333333333336,87,15,72,36.77408507812714,1,1,Low,High,Medium
47,38,32,D,117,39.0,47,32,15,7.54983443527075,1,0,Medium,Low,Low
26,61,66,C,153,51.0,66,26,40,21.79449471770337,1,0,Low,Medium,Medium
28,52,45,D,125,41.666666666666664,52,28,24,12.342339054382412,1,0,Low,Medium,Medium
56,59,58,C,173,57.666666666666664,59,56,3,1.5275252316519465,1,1,Medium,Medium,Medium
76,83,86,A,245,81.66666666666667,86,76,10,5.131601439446884,1,1,High,High,High
73,87,59,B+,219,73.0,87,59,28,14.0,1,1,High,High,Medium
38,16,97,D,151,50.333333333333336,97,16,81,41.88476254359493,1,0,Low,Low,High
20,37,56,D,113,37.666666666666664,56,20,36,18.0092568789868,1,0,Low,Low,Medium
88,95,58,B+,241,80.33333333333333,95,58,37,19.655363983740756,1,1,High,High,Medium
17,14,34,F,65,21.666666666666668,34,14,20,10.785793124908958,0,0,Low,Low,Low
22,79,58,C,159,53.0,79,22,57,28.827070610799147,1,0,Low,High,Medium
80,77,26,B,183,61.0,80,26,54,30.347981810987037,1,1,High,High,Low
63,33,48,D,144,48.0,63,33,30,15.0,1,0,Medium,Low,Medium
34,91,14,D,139,46.333333333333336,91,14,77,39.95414037785488,1,0,Low,High,Low
55,27,22,D,104,34.666666666666664,55,22,33,17.7857620959388,1,0,Medium,Low,Low
100,27,87,B+,214,71.33333333333333,100,27,73,38.940124978399,1,1,High,Low,High
38,37,22,F,97,32.333333333333336,38,22,16,8.962886439832502,0,0,Low,Low,Low
12,82,79,C,173,57.666666666666664,82,12,70,39.576929306520654,1,1,Low,High,High
95,47,54,B,196,65.33333333333333,95,47,48,25.92939130279254,1,1,High,Medium,Medium
52,92,44,B,188,62.666666666666664,92,44,48,25.716402029314544,1,1,Medium,High,Medium
46,49,95,B,190,63.333333333333336,95,46,49,27.465129406819354,1,1,Medium,Medium,High
29,51,92,C,172,57.333333333333336,92,29,63,31.973947728319903,1,1,Low,Medium,High
79,12,68,C,159,53.0,79,12,67,35.93048844644336,1,0,High,Low,Medium
76,45,60,C,181,60.333333333333336,76,45,31,15.50268793897798,1,1,High,Medium,Medium
75,84,55,B+,214,71.33333333333333,84,55,29,14.843629385474879,1,1,High,High,Medium
36,61,36,D,133,44.333333333333336,61,36,25,14.433756729740644,1,0,Low,Medium,Low
34,13,52,D,99,33.0,52,13,39,19.519221295943137,1,0,Low,Low,Medium
65,62,61,B,188,62.666666666666664,65,61,4,2.0816659994661326,1,1,Medium,Medium,Medium
63,75,56,B,194,64.66666666666667,75,56,19,9.60902353693305,1,1,Medium,High,Medium
80,61,95,B+,236,78.66666666666667,95,61,34,17.03917055884274,1,1,High,Medium,High
23,26,24,F,73,24.333333333333332,26,23,3,1.5275252316519468,0,0,Low,Low,Low
40,22,88,D,150,50.0,88,22,66,34.11744421846396,1,0,Low,Low,High
58,87,37,C,182,60.666666666666664,87,37,50,25.106440076867393,1,1,Medium,High,Low
21,49,93,C,163,54.333333333333336,93,21,72,36.29508690350987,1,0,Low,Medium,High
84,31,82,B,197,65.66666666666667,84,31,53,30.038863715748857,1,1,High,Low,High
11,58,82,D,151,50.333333333333336,82,11,71,36.11555528208494,1,0,Low,Medium,High
55,41,40,D,136,45.333333333333336,55,40,15,8.386497083606084,1,0,Medium,Medium,Low
36,27,73,D,136,45.333333333333336,73,27,46,24.37895267096873,1,0,Low,Low,High
48,54,29,D,131,43.666666666666664,54,29,25,13.051181300301261,1,0,Medium,Medium,Low
95,12,44,D,151,50.333333333333336,95,12,83,41.86088070422472,1,0,High,Low,Medium
54,35,16,D,105,35.0,54,16,38,19.0,1,0,Medium,Low,Low
32,34,87,C,153,51.0,87,32,55,31.192947920964443,1,0,Low,Low,High
53,85,51,B,189,63.0,85,51,34,19.078784028338912,1,1,Medium,High,Medium
80,99,30,B,209,69.66666666666667,99,30,69,35.64173583501978,1,1,High,High,Low
89,43,59,B,191,63.666666666666664,89,43,46,23.35237318418266,1,1,High,Medium,Medium
78,22,49,D,149,49.666666666666664,78,22,56,28.00595174839329,1,0,High,Low,Medium
34,30,76,D,140,46.666666666666664,76,30,46,25.482019804821856,1,0,Low,Low,High
75,22,55,D,152,50.666666666666664,75,22,53,26.764404221527766,1,0,High,Low,Medium
75,21,29,D,125,41.666666666666664,75,21,54,29.143323992525858,1,0,High,Low,Low
13,11,34,F,58,19.333333333333332,34,11,23,12.741009902410928,0,0,Low,Low,Low
28,37,71,D,136,45.333333333333336,71,28,43,22.6789182575654,1,0,Low,Low,High
61,13,78,D,152,50.666666666666664,78,13,65,33.70954365359064,1,0,Medium,Low,High
49,87,58,B,194,64.66666666666667,87,49,38,19.857828011475306,1,1,Medium,High,Medium
39,74,50,C,163,54.333333333333336,74,39,35,17.897858344878397,1,0,Low,High,Medium
78,92,23,B,193,64.33333333333333,92,23,69,36.473734842120756,1,1,High,High,Low
38,70,34,D,142,47.333333333333336,70,34,36,19.731531449264992,1,0,Low,Medium,Low
85,96,87,A,268,89.33333333333333,96,85,11,5.8594652770823155,1,1,High,High,High
33,42,93,C,168,56.0,93,33,60,32.357379374726875,1,1,Low,Medium,High
19,79,50,D,148,49.333333333333336,79,19,60,30.0055550412475,1,0,Low,High,Medium
91,67,28,B,186,62.0,91,28,63,31.796226191169293,1,1,High,Medium,Low
93,57,55,B,205,68.33333333333333,93,55,38,21.385353243127255,1,1,High,Medium,Medium
83,44,88,B+,215,71.66666666666667,88,44,44,24.090108620206205,1,1,High,Medium,High
71,33,30,D,134,44.666666666666664,71,30,41,22.854612955229264,1,0,High,Low,Low
59,22,60,D,141,47.0,60,22,38,21.656407827707714,1,0,Medium,Low,Medium
73,34,61,C,168,56.0,73,34,39,19.974984355438178,1,1,High,Low,Medium
99,26,91,B+,216,72.0,99,26,73,40.0374824383352,1,1,High,Low,High
84,65,80,B+,229,76.33333333333333,84,65,19,10.016652800877813,1,1,High,Medium,High
14,50,94,C,158,52.666666666666664,94,14,80,40.06661120351125,1,0,Low,Medium,High
87,92,85,A,264,88.0,92,85,7,3.605551275463989,1,1,High,High,High
41,67,17,D,125,41.666666666666664,67,17,50,25.006665778014735,1,0,Medium,Medium,Low
61,72,17,D,150,50.0,72,17,55,29.103264421710495,1,0,Medium,High,Low
75,76,91,B+,242,80.66666666666667,91,75,16,8.962886439832502,1,1,High,High,High
43,13,41,F,97,32.333333333333336,43,13,30,16.772994167212165,0,0,Medium,Low,Medium
49,78,46,C,173,57.666666666666664,78,46,32,17.67295485574875,1,1,Medium,High,Medium
70,78,13,C,161,53.666666666666664,78,13,65,35.444792753426185,1,0,Medium,High,Low
16,32,63,D,111,37.0,63,16,47,23.895606290697042,1,0,Low,Low,Medium
73,84,25,C,182,60.666666666666664,84,25,59,31.374086972106983,1,1,High,High,Low
49,76,77,B,202,67.33333333333333,77,49,28,15.88500340992514,1,1,Medium,High,High
82,41,44,C,167,55.666666666666664,82,41,41,22.854612955229264,1,1,High,Medium,Medium
69,44,95,B,208,69.33333333333333,95,44,51,25.501633934580216,1,1,Medium,Medium,High
25,79,51,C,155,51.666666666666664,79,25,54,27.00617213403879,1,0,Low,High,Medium
46,11,34,F,91,30.333333333333332,46,11,35,17.7857620959388,0,0,Medium,Low,Low
14,47,14,F,75,25.0,47,14,33,19.05255888325765,0,0,Low,Medium,Low
23,58,95,C,176,58.666666666666664,95,23,72,36.004629331980816,1,1,Low,Medium,High
64,12,72,D,148,49.333333333333336,72,12,60,32.578111260988315,1,0,Medium,Low,High
51,60,79,B,190,63.333333333333336,79,51,28,14.29452109492771,1,1,Medium,Medium,High
50,90,86,B+,226,75.33333333333333,90,50,40,22.030282189144405,1,1,Medium,High,High
89,19,28,D,136,45.333333333333336,89,19,70,38.083242158898884,1,0,High,Low,Low
80,48,50,C,178,59.333333333333336,80,48,32,17.925772879665004,1,1,High,Medium,Medium
93,89,97,A+,279,93.0,97,89,8,4.0,1,1,High,High,High
40,73,71,B,184,61.333333333333336,73,40,33,18.502252115170556,1,1,Low,High,High
79,60,86,B+,225,75.0,86,60,26,13.45362404707371,1,1,High,Medium,High
73,65,54,B,192,64.0,73,54,19,9.539392014169456,1,1,High,Medium,Medium
74,49,79,B,202,67.33333333333333,79,49,30,16.072751268321593,1,1,High,Medium,High
92,44,31,C,167,55.666666666666664,92,31,61,32.129944496269104,1,1,High,Medium,Low
88,17,93,B,198,66.0,93,17,76,42.50882261366456,1,1,High,Low,High
17,87,56,C,160,53.333333333333336,87,17,70,35.07610772781572,1,0,Low,High,Medium
23,91,80,B,194,64.66666666666667,91,23,68,36.50114153466071,1,1,Low,High,High
65,72,21,C,158,52.666666666666664,72,21,51,27.64657905299195,1,0,Medium,High,Low
96,58,95,A,249,83.0,96,58,38,21.656407827707714,1,1,High,Medium,High
74,71,21,C,166,55.333333333333336,74,21,53,29.771350881902105,1,1,High,High,Low
19,69,83,C,171,57.0,83,19,64,33.645207682521445,1,1,Low,Medium,High
47,41,24,D,112,37.333333333333336,47,24,23,11.930353445448853,1,0,Medium,Medium,Low
48,59,17,D,124,41.333333333333336,59,17,42,21.77919496522618,1,0,Medium,Medium,Low
54,77,54,B,185,61.666666666666664,77,54,23,13.279056191361391,1,1,Medium,High,Medium
