method,n_clusters_requested,n_clusters_found,random_state,fit_time_ms,int_silhouette,int_calinski_harabasz,int_davies_bouldin,int_dunn,int_wcss,int_bcss,ext_ari,ext_nmi,ext_fmi,ext_homogeneity,ext_completeness,ext_v_measure,dataset,k,true_k,seed
kmeans,2,2,42,44.48600899922894,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,42
isodata,2,4,42,2.6563360006548464,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,2,5,42
minibatch_kmeans,2,2,42,6.221276998985559,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,42
bisecting_kmeans,2,2,42,4.05973300075857,0.510649319361725,431.5036553372978,1.0238556572895687,0.5634126781172112,535.7698134272384,464.2301865727619,0.3731155778894472,0.5897275217561572,0.6182551109690742,0.418165660079052,1.0000000000000007,0.5897275217561572,blobs,2,5,42
gmm,2,2,42,39.99791299975186,0.510649319361725,431.5036553372978,1.0238556572895687,0.5634126781172112,535.7698134272384,464.2301865727619,0.3731155778894472,0.5897275217561572,0.6182551109690742,0.418165660079052,1.0000000000000007,0.5897275217561572,blobs,2,5,42
adaptive,2,2,42,15.013428999736789,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,42
kmeans,2,2,7,13.495177001459524,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,7
isodata,2,3,7,2.896347999922,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,2,5,7
minibatch_kmeans,2,2,7,7.982798000739422,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,7
bisecting_kmeans,2,2,7,2.024174000325729,0.5787825172771479,475.6158758549172,0.5172276178142915,0.6129711369333678,511.49535699868704,488.5046430013134,0.2091917591125198,0.47435098761403266,0.540402996133523,0.31091750708257165,1.0000000000000018,0.4743509876140327,blobs,2,5,7
