dataset,noise_rate,ccp_alpha,total_impurity,seed,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,0.0,0.0,0.0,42,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,0.0,0.007407407407407407,0.014814814814814814,42,0.9888888888888889,0.9333333333333333,0.9666666666666667,0.9888858016115588,0.9333333333333332,0.9665831244778613,4,5,9,0.16666666666666666,0.022222222222222254
iris,0.0,0.014814814814814814,0.029629629629629627,42,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,0.0,0.04880174291938996,0.07843137254901959,42,0.9555555555555556,0.9333333333333333,0.8666666666666667,0.9553571428571429,0.9333333333333332,0.8611111111111112,2,3,5,0.25,0.0888888888888889
iris,0.0,0.2549019607843137,0.3333333333333333,42,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,1,2,3,0.3333333333333333,0.0
iris,0.0,0.3333333333333334,0.6666666666666667,42,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,1,1,0.5,0.0
iris,0.0,0.0,0.0,7,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,0.041666666666666664,0.041666666666666664,7,0.9777777777777777,0.8666666666666667,1.0,0.9777530589543938,0.8666666666666667,1.0,2,3,5,0.25,-0.022222222222222254
iris,0.0,0.29166666666666663,0.3333333333333333,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.5555555555555555,1,2,3,0.3333333333333333,0.0
iris,0.0,0.3333333333333334,0.6666666666666667,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,1,1,0.5,0.0
