dataset,noise_mode,noise_rate,actual_flip_rate,strategy,seed,fit_time_ms,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,symmetric,0.0,0.0,none,42,2.1727439998358022,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,symmetric,0.0,0.0,pre_depth,42,1.123344999996334,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,symmetric,0.0,0.0,pre_samples,42,0.6426820000342559,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,symmetric,0.0,0.0,ccp,42,1.1411929999667336,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,symmetric,0.0,0.0,combined,42,0.6450129999393539,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,symmetric,0.0,0.0,none,7,1.12501900002826,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.0,0.0,pre_depth,7,0.6511649999083602,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.0,0.0,pre_samples,7,0.6460839999817836,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.0,0.0,ccp,7,0.6582850000995677,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.0,0.0,combined,7,0.6757569999535917,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,symmetric,0.1,0.1,none,42,0.7667229997423419,0.9888888888888889,0.7666666666666667,0.6666666666666666,0.988419686532894,0.7657428595643698,0.6585303839308416,8,17,33,0.05555555555555555,0.3222222222222223
iris,symmetric,0.1,0.1,pre_depth,42,0.6242439999368798,0.9222222222222223,0.8666666666666667,0.7333333333333333,0.921395637935673,0.869023569023569,0.7331296154825567,2,4,7,0.2,0.188888888888889
