dataset,seed,subsample_size,method,test_accuracy,test_f1_macro,test_balanced_accuracy,test_auc,train_accuracy,overfitting_gap,fit_time_ms,predict_time_ms,n_estimators,div_disagreement,div_q_statistic,div_double_fault,div_kappa
breast_cancer,42,50,bagging,0.868421052631579,0.8637992831541219,0.8809523809523809,0.957010582010582,0.98,0.111578947368421,23.103079000065918,1.1441679998824839,10,0.14619883040935674,0.706884912083743,0.06900584795321635,0.4029751569249684
breast_cancer,42,50,random_forest,0.8947368421052632,0.8898550724637682,0.9017857142857143,0.9603174603174605,0.98,0.08526315789473682,10.263424999720883,0.9126559998549055,10,0.14074074074074072,0.7790916999394167,0.06296296296296297,0.39198348776802067
breast_cancer,42,50,adaboost,0.9035087719298246,0.8994144541589797,0.9136904761904762,0.9553571428571429,1.0,0.0964912280701754,15.706274999502057,1.8408070000077714,10,0.2553606237816764,0.461383672586925,0.0810916179337232,0.2561727978584789
breast_cancer,42,50,gradient_boosting,0.8333333333333334,0.8285714285714285,0.8482142857142857,0.9090608465608466,1.0,0.16666666666666663,6.705894000333501,0.23120799960452132,10,,,,
breast_cancer,42,50,hard_voting,0.9122807017543859,0.9074675324675325,0.9156746031746033,,1.0,0.08771929824561409,104.74512499968114,58.82215399924462,10,0.11578947368421051,0.8360101210461105,0.05789473684210526,0.4263214846791038
breast_cancer,42,50,soft_voting,0.8771929824561403,0.8724424552429668,0.8878968253968254,0.9616402116402116,1.0,0.1228070175438597,271.6097009997611,2.3981000003914232,10,0.11578947368421051,0.8360101210461105,0.05789473684210526,0.4263214846791038
breast_cancer,42,50,decision_tree,0.8333333333333334,0.8295427717006374,0.8531746031746033,0.8531746031746031,1.0,0.16666666666666663,1.1597149996305234,0.1345589998891228,10,,,,
breast_cancer,42,50,logistic_regression,0.9035087719298246,0.8977745169968208,0.9037698412698413,0.9732142857142858,1.0,0.0964912280701754,90.42922100070427,0.2305609996255953,10,,,,
breast_cancer,42,200,bagging,0.9122807017543859,0.9057539682539683,0.9057539682539683,0.9403108465608467,0.995,0.08271929824561408,31.67964599924744,1.3895519996367511,10,0.11559454191033133,0.8643548953292749,0.06764132553606236,0.47631389730901624
breast_cancer,42,200,random_forest,0.8947368421052632,0.8879790370127743,0.8918650793650793,0.9480820105820105,1.0,0.10526315789473684,22.869449000609166,1.2848879996454343,10,0.11559454191033142,0.882395922800129,0.07115009746588694,0.4898977949243701
breast_cancer,42,200,adaboost,0.9210526315789473,0.9155902920608803,0.9176587301587302,0.9833002645502646,1.0,0.07894736842105265,26.227100999676622,0.9239319997504936,10,0.341130604288499,0.12072609250063873,0.06627680311890838,0.08120802338136637
breast_cancer,42,200,gradient_boosting,0.8947368421052632,0.885733377881724,0.8819444444444444,0.9576719576719577,0.99,0.09526315789473683,18.57949900022504,0.3617120000853902,10,,,,
breast_cancer,42,200,hard_voting,0.9122807017543859,0.9025641025641026,0.8908730158730158,,0.975,0.06271929824561406,121.15870799971162,3.3860650000860915,10,0.12105263157894734,0.8133499721155296,0.04824561403508772,0.3747434402964762
breast_cancer,42,200,soft_voting,0.9210526315789473,0.912836632401665,0.9027777777777778,0.9857804232804233,0.99,0.06894736842105265,145.454102000258,2.707888999793795,10,0.12105263157894734,0.8133499721155296,0.04824561403508772,0.3747434402964762
